Apparel,Shoe,Brand,Sport,Clearance,Fan Gear,league,team,link,image,price
shorts,,puma,soccer,,,,,<a href="http://www.amazon.com/gp/product/B003YM9AMA/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003YM9AMA&linkCode=as2&tag=golclujun0d-20" target="_blank">Puma Manchester Women's Short</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003YM9AMA" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003YM9AMA/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003YM9AMA&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003YM9AMA&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003YM9AMA" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,19.98
shorts,,adidas,soccer,,,,,<a href="http://www.amazon.com/gp/product/B004B2ZODG/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004B2ZODG&linkCode=as2&tag=golclujun0d-20" target="_blank">adidas Women's Tiro 11 Short</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B004B2ZODG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B004B2ZODG/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004B2ZODG&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B004B2ZODG&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B004B2ZODG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,20
tops,,reebok,hockey,,TRUE,NHL,Colorado Avalance,<a href="http://www.amazon.com/gp/product/B0020859ME/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0020859ME&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL Women's Colorado Avalanche Reebok Premier Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B0020859ME" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B0020859ME/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0020859ME&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B0020859ME&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B0020859ME" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,100
tops,,reebok,hockey,,TRUE,NHL,New York Rangers,<a href="http://www.amazon.com/gp/product/B002979V1G/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B002979V1G&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL New York Rangers Henrik Lundqvist Women's Premier Player Road Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B002979V1G" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B002979V1G/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B002979V1G&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B002979V1G&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B002979V1G" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,130
tops,,reebok,hockey,,TRUE,NHL,Detroit Red Wings,<a href="http://www.amazon.com/gp/product/B003VQKU46/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQKU46&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL Detroit Red Wings Henrik Zetterberg Women's Premier Player Road Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQKU46" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQKU46/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQKU46&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQKU46&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQKU46" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,130
tops,,Cutter & buck,golf,,TRUE,NFL,Baltimore Ravens,<a href="http://www.amazon.com/gp/product/B003VQR58U/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR58U&linkCode=as2&tag=golclujun0d-20" target="_blank">NFL Baltimore Ravens Women's Ace Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR58U" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR58U/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR58U&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR58U&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR58U" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,32.84
tops,,Cutter & buck,golf,,TRUE,NFL,New England Patriots,<a href="http://www.amazon.com/gp/product/B003VQR99A/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR99A&linkCode=as2&tag=golclujun0d-20" target="_blank">NFL New England Patriots Women's Ace Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR99A" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR99A/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR99A&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR99A&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR99A" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,50.52
tops,,Cutter & buck,golf,,TRUE,NFL,San Francisco 49ers,<a href="http://www.amazon.com/gp/product/B003VQR5UI/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR5UI&linkCode=as2&tag=golclujun0d-20" target="_blank">NFL San Francisco 49ers Women's Ace Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR5UI" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR5UI/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR5UI&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR5UI&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR5UI" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,32.84
tops,,Cutter & buck,golf,,TRUE,NFL,Pittsburgh Steelers,<a href="http://www.amazon.com/gp/product/B003VQR5ZS/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR5ZS&linkCode=as2&tag=golclujun0d-20" target="_blank">NFL Pittsburgh Steelers Women's Ace Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR5ZS" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR5ZS/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR5ZS&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR5ZS&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR5ZS" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,50.52
tops,,Cutter & buck,golf,,TRUE,NFL,Green Bay Packers,<a href="http://www.amazon.com/gp/product/B003VQR7U6/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR7U6&linkCode=as2&tag=golclujun0d-20" target="_blank">NFL Green Bay Packers Women's Ace Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR7U6" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR7U6/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR7U6&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR7U6&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR7U6" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,29.27
